NFTnames,average_price
"CryptoPunk #4991",279470.75
"CryptoPunk #9066",279436.89
"CryptoPunk #7996",279018.52999999997
"CryptoPunk #4049",278178.34229
"CryptoPunk #3807",278024.87333333335
"CryptoPunk #4807",278003.3925
"CryptoPunk #2735",277885.10009333334
"CryptoPunk #4469",277654.2
"CryptoPunk #489",277128.22926666663
"CryptoPunk #4681",276942.49666666664
"CryptoPunk #1009",276903.04
"CryptoPunk #3822",276496.874
"CryptoPunk #6622",276494.4801
"CryptoPunk #9513",276124.28055
"CryptoPunk #8083",275973.2462142857
"CryptoPunk #6529",274899.24
"CryptoPunk #4290",274897.605
"CryptoPunk #4953",274854.8493333333
"CryptoPunk #490",274745.7085
"CryptoPunk #3046",274708.616175
"CryptoPunk #4263",274495.89047499996
"CryptoPunk #8572",274423.35
"CryptoPunk #2936",274279.49833333335
"CryptoPunk #4643",273891.39650000003
"CryptoPunk #9868",273875.01666666666
"CryptoPunk #6652",273498.4605625
"CryptoPunk #4124",273133.20945
"CryptoPunk #7427",273044.60463333334
"CryptoPunk #735",272122.56695
"CryptoPunk #5836",272065.6987
"CryptoPunk #2834",272017.537
"CryptoPunk #6282",271957.433
"CryptoPunk #6334",271879.1516666667
"CryptoPunk #9375",271572.83416666667
"CryptoPunk #6997",271364.45455
"CryptoPunk #8532",271026.8
"CryptoPunk #7865",270926.75362499995
"CryptoPunk #3204",270702.1632
"CryptoPunk #8801",270663.05
"CryptoPunk #6131",270640.29469999997
"CryptoPunk #5455",270352.246125
"CryptoPunk #5142",270180.4708
"CryptoPunk #1864",269903.63724999997
"CryptoPunk #3368",269812.5012
"CryptoPunk #7262",269746.29
"CryptoPunk #3444",269607.382175
"CryptoPunk #7122",269378.45
"CryptoPunk #197",269335.96749999997
"CryptoPunk #3606",269185.65525
"CryptoPunk #6307",269139.9155
"CryptoPunk #555",269079.271
"CryptoPunk #3981",269065.77
"CryptoPunk #7847",268956.20759999997
"CryptoPunk #5558",268862.2421833333
"CryptoPunk #8637",268811.27842499997
"CryptoPunk #6238",268698.17566666665
"CryptoPunk #1855",268329.8257666667
"CryptoPunk #7201",268288.76
"CryptoPunk #5375",268108.5
"CryptoPunk #4242",268087.04110000003
"CryptoPunk #2778",267795.125
"CryptoPunk #1270",267692.091
"CryptoPunk #8725",267673.7033333333
"CryptoPunk #2499",267635.33999999997
"CryptoPunk #3560",267416.325
"CryptoPunk #8959",267386.6
"CryptoPunk #5129",267386.6
"CryptoPunk #4541",267256.08535
"CryptoPunk #1942",267195.3095
"CryptoPunk #494",266631.62948
"CryptoPunk #4961",266559.929
"CryptoPunk #259",266480.9685
"CryptoPunk #2933",265820.8
"CryptoPunk #3961",265811.2
