buyer_address,eth_price,usd_price,seller_address,event_date,token_id,transaction_hash,name
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,44.8,122067.008,0x61d650056c2cee9a493fd86641fbfc57bfbc4f35,05/08/2021,2039,0x229c92dd803af7c7ee4f3732ab68cf1e0b2544d9ac0e6c11f6325048d4ac4f42,CryptoPunk #2039
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,54,147134.34,0xe5c4c41194901047523108bb47eb109781a1a86a,05/08/2021,3799,0xb8fa48ef3b1dbf27699561d247dcefddce362d8f4dff925572be215a48e35757,CryptoPunk #3799
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,41.5,113075.465,0x36ed2d75a82e180e0871456b15c239b73b4ee9f4,05/08/2021,8173,0x212cafba1717a341e8e7876095e2b8e97964c0ff32d809a73d0a3a45ee157efe,CryptoPunk #8173
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,45.98,125282.1658,0x6ec30fd91a504aad948839b985c7263888b2ad68,05/08/2021,1966,0x15612d578c8e12365718c729d9659e184a7623dfc3699ef83ad05eb755614ace,CryptoPunk #1966
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,64.64,176125.2544,0x6301add4fb128de9778b8651a2a9278b86761423,05/08/2021,6464,0x9b8d0ab23ce5dd41e35b95bfbd0bf507d2e97bc03f2ca87e4e65a78862c5062c,CryptoPunk #6464
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,45.11,122911.6681,0xe4ebe67decc1fa118cc1778d0847b45fb8681187,05/08/2021,9255,0xa3305f5407ea75f71b550cf7e16ec8f74bf9f2844d9fbb865435bba929740df4,CryptoPunk #9255
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,43.98,119832.7458,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,05/08/2021,5979,0xec237b7305b2b2bf4362332d439ec54c9c77714ee7d51f0e035a8112b290dac3,CryptoPunk #5979
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,64.269,175114.387,0xc46db2d89327d4c41eb81c43ed5e3dff111f9a8f,05/08/2021,9062,0x167dd7ada2501fee08a0e9d60d7e9c04001490bf14bf9323dce1e550546d6c69,CryptoPunk #9062
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,34.5,86531.52,0x485be95e7c86550e76be32137148479e89d713d6,04/08/2021,5535,0xe94235d5166be7b1d5e142af4fb138409c9eb9c6a0bf0825a1df14bd32aef242,CryptoPunk #5535
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,88,220718.08,0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,04/08/2021,7434,0x0b88dab9569540df1425d4a36e9dbc59b0294c81648473a7a14d0b88721d1113,CryptoPunk #7434
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,34.9,87534.784,0xa1892ba78fd0614c8707dc204fe5290030020ff8,04/08/2021,6540,0xfbeb11f695035a179b6204d1402e8cff829d8c6b93662e6faa783139013273d2,CryptoPunk #6540
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,58,145473.28,0x4daef97203fa6654f6338872da5bd1ea2e879533,04/08/2021,2932,0x113d54b12919b71d16eada37ab35e51fdbeda30e490ae303df929d1b5ac05457,CryptoPunk #2932
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,9.90E-17,2.48308E-13,0x4eea85960a590b942fa81fcb55c028496bab6cc8,04/08/2021,3860,0xb40fd0c9a2ba2d1d5e7ee5e322f9afc5e2ec1b7e2d520b638ea83dcc9c850d02,CryptoPunk #3860
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,32,80261.12,0xcc52d4132a0fd28a6e2e820d0c8e774fe53499f0,04/08/2021,2354,0x7f280cab2cacc7fdfcfe61e31cb9f79bbda0f72057c63c0c7e90e1f9462c97d9,CryptoPunk #2354
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,72.5,189088.7,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,03/08/2021,3661,0x9c69757a68ceacd241b5e9728f5c39005298867c2a53545caac04cf60af198dd,CryptoPunk #3661
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,57,148662.84,0xd4fa6e82c77716fa1ef7f5defc5fd6eeefbd3bff,03/08/2021,5051,0xbe977d23a1ed1055705400b4578b474f6578d29d6efc0cc9b28739d9d84f9da2,CryptoPunk #5051
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,31.95,81663.8805,0x758273064dce8459ebdd6ccf52028d01272f1033,02/08/2021,8186,0x1c992641ff9f70a42494ad97b8e8a8cd196786a5b790548ecc110b3a7adc2890,CryptoPunk #8186
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,35.3,89433.962,0x0e616785638663c88a493a82972e2f9cadaab4bc,01/08/2021,9767,0x4570424cdff246c3351dc50e8ecb8060d43e15ce08f5d3b034dd81b9149e7b9b,CryptoPunk #9767
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,34.99,88648.5646,0x74be0af0bf7254328ddffc09425ff71d64a1a836,01/08/2021,7408,0x4e3418d686322fdef03ceebd4ec8198c7e2311887fd75b78795f0b07cbe4bda1,CryptoPunk #7408
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,29.99,75980.8646,0x3433faf996a75d642a1e8dc82b8d70381e252881,01/08/2021,6936,0x82d08636f7b68db1aed12704820c3396ee887e485828e7448b19327fcece1945,CryptoPunk #6936
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,28,68988.64,0xead90127d60f78f3e97781938418004be1794eae,31/07/2021,1753,0x350b1ffecf379c4b0025cee18c3ff9939986af6567360f953986ae29413b727c,CryptoPunk #1753
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,80,197110.4,0xc480fb0ebea2591470f571436926785be5ebcd22,31/07/2021,9725,0x635f71494c592689a524fab2cf7ebd89344df89665b758984a0f56e68f0864ee,CryptoPunk #9725
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,59.99,147808.1612,0x33b17a8d3578d558731ba60b6ba8e5f38a0bfa1d,31/07/2021,7854,0x0487f3aeec120b9b53286fda378eccfcf2ea99bfe0707ea77eea56289bb95a54,CryptoPunk #7854
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,23,54819.81,0xd15cf6493b1ace9d1f66096163e969c55cb7e526,30/07/2021,9319,0xafbc19f0a518654885a3a89f526088af60d6137a88277c2bf6d3d777e2ae67df,CryptoPunk #9319
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,23.99,57179.4453,0x5d8bff9300b6944cb2a2b88ae36fbaf8ee820afa,30/07/2021,258,0x8cf6136aefee5932cf349f4b7a144432969a48f8c3c4ab3bceb96d73f769ba3e,CryptoPunk #258
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,23.74,56583.5778,0x50664ede715e131f584d3e7eaabd7818bb20a068,30/07/2021,2976,0xd1629f077e6ecec04f64b0b934045fe2737d3f0b1793aa086f8c2ba6315c70d1,CryptoPunk #2976
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,41,97722.27,0x00084121aec4309cb20db622a28c717720e888e0,30/07/2021,6080,0xa0bbf8b919eaa40ba397c246554fe6495bcadba97e44b5926ca1709f4b8e1316,CryptoPunk #6080
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,24,57203.28,0x0b88fd87884080bd6d93d341fcca0eea76b03e75,30/07/2021,9087,0x7947820adf7a245237906afc1b7a58b26454c8987da80046946c21159d20fadb,CryptoPunk #9087
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,25,59586.75,0x9e427ebcca41cd9423516e0c19769ca1a1f2fc25,30/07/2021,3856,0x0206aafc1de871bb8333e53c1e94e70456cec229e221a8f8d88466a40da0fbc4,CryptoPunk #3856
