event_date,usd_price,daily_average,ten_percent_of_earlier_DA,new_daily_average
06/08/2021,127864.6531,196989.8308,19698.98308,201680.0648
06/08/2021,132040.9803,196989.8308,19698.98308,201680.0648
06/08/2021,131571.285,196989.8308,19698.98308,201680.0648
06/08/2021,149962.97,196989.8308,19698.98308,201680.0648
06/08/2021,134315.8903,196989.8308,19698.98308,201680.0648
06/08/2021,132957.7351,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,134400.775,196989.8308,19698.98308,201680.0648
06/08/2021,134400.775,196989.8308,19698.98308,201680.0648
06/08/2021,169769.4,196989.8308,19698.98308,201680.0648
06/08/2021,197187.1581,196989.8308,19698.98308,201680.0648
06/08/2021,155621.95,196989.8308,19698.98308,201680.0648
06/08/2021,131571.285,196989.8308,19698.98308,201680.0648
06/08/2021,134400.775,196989.8308,19698.98308,201680.0648
06/08/2021,138645.01,196989.8308,19698.98308,201680.0648
06/08/2021,134400.775,196989.8308,19698.98308,201680.0648
06/08/2021,141191.551,196989.8308,19698.98308,201680.0648
06/08/2021,135249.622,196989.8308,19698.98308,201680.0648
06/08/2021,134938.3781,196989.8308,19698.98308,201680.0648
06/08/2021,135815.52,196989.8308,19698.98308,201680.0648
06/08/2021,137230.265,196989.8308,19698.98308,201680.0648
06/08/2021,135815.52,196989.8308,19698.98308,201680.0648
06/08/2021,163487.9322,196989.8308,19698.98308,201680.0648
06/08/2021,138503.5355,196989.8308,19698.98308,201680.0648
06/08/2021,248995.12,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,1061058.75,196989.8308,19698.98308,201680.0648
06/08/2021,138645.01,196989.8308,19698.98308,201680.0648
06/08/2021,144303.99,196989.8308,19698.98308,201680.0648
06/08/2021,147133.48,196989.8308,19698.98308,201680.0648
06/08/2021,164082.1251,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,140031.4601,196989.8308,19698.98308,201680.0648
06/08/2021,137371.7395,196989.8308,19698.98308,201680.0648
06/08/2021,438570.95,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,141446.2051,196989.8308,19698.98308,201680.0648
06/08/2021,190990.575,196989.8308,19698.98308,201680.0648
06/08/2021,282949,196989.8308,19698.98308,201680.0648
06/08/2021,226359.2,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,152792.46,196989.8308,19698.98308,201680.0648
06/08/2021,192405.32,196989.8308,19698.98308,201680.0648
06/08/2021,282949,196989.8308,19698.98308,201680.0648
06/08/2021,143426.8481,196989.8308,19698.98308,201680.0648
06/08/2021,138305.4712,196989.8308,19698.98308,201680.0648
06/08/2021,282524.5765,196989.8308,19698.98308,201680.0648
06/08/2021,155621.95,196989.8308,19698.98308,201680.0648
06/08/2021,141389.6153,196989.8308,19698.98308,201680.0648
06/08/2021,212211.75,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,138645.01,196989.8308,19698.98308,201680.0648
06/08/2021,141304.7306,196989.8308,19698.98308,201680.0648
06/08/2021,305584.92,196989.8308,19698.98308,201680.0648
06/08/2021,141446.2051,196989.8308,19698.98308,201680.0648
06/08/2021,183916.85,196989.8308,19698.98308,201680.0648
06/08/2021,140597.3581,196989.8308,19698.98308,201680.0648
06/08/2021,240506.65,196989.8308,19698.98308,201680.0648
06/08/2021,146850.531,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,152792.46,196989.8308,19698.98308,201680.0648
06/08/2021,254569.2153,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,141389.6153,196989.8308,19698.98308,201680.0648
06/08/2021,139465.5621,196989.8308,19698.98308,201680.0648
06/08/2021,333879.82,196989.8308,19698.98308,201680.0648
06/08/2021,145718.735,196989.8308,19698.98308,201680.0648
06/08/2021,311243.9,196989.8308,19698.98308,201680.0648
06/08/2021,140908.602,196989.8308,19698.98308,201680.0648
06/08/2021,152141.6773,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,155621.95,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,174324.8789,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,226359.2,196989.8308,19698.98308,201680.0648
06/08/2021,141446.2051,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,151349.4201,196989.8308,19698.98308,201680.0648
06/08/2021,149962.97,196989.8308,19698.98308,201680.0648
06/08/2021,169741.1051,196989.8308,19698.98308,201680.0648
06/08/2021,189575.83,196989.8308,19698.98308,201680.0648
06/08/2021,155621.95,196989.8308,19698.98308,201680.0648
06/08/2021,149962.97,196989.8308,19698.98308,201680.0648
06/08/2021,190424.677,196989.8308,19698.98308,201680.0648
07/08/2021,159828.8575,204594.0404,20459.40404,212944.8176
07/08/2021,491781.1,204594.0404,20459.40404,212944.8176
07/08/2021,150427.16,204594.0404,20459.40404,212944.8176
07/08/2021,173222.6604,204594.0404,20459.40404,212944.8176
07/08/2021,216933.3217,204594.0404,20459.40404,212944.8176
07/08/2021,153898.556,204594.0404,20459.40404,212944.8176
